20211121161328,10.0.0.5,38675,10.0.0.10,5001,3,0.0-1.0,262144,2097152
20211121161328,10.0.0.5,38675,10.0.0.10,5001,3,1.0-2.0,0,0
20211121161330,10.0.0.5,38675,10.0.0.10,5001,3,2.0-3.0,131072,1048576
20211121161330,10.0.0.5,38675,10.0.0.10,5001,3,3.0-4.0,0,0
20211121161331,10.0.0.5,38675,10.0.0.10,5001,3,4.0-5.0,131072,1048576
20211121161331,10.0.0.5,38675,10.0.0.10,5001,3,5.0-6.0,0,0
20211121161333,10.0.0.5,38675,10.0.0.10,5001,3,6.0-7.0,131072,1048576
20211121161333,10.0.0.5,38675,10.0.0.10,5001,3,7.0-8.0,0,0
20211121161336,10.0.0.5,38675,10.0.0.10,5001,3,8.0-9.0,131072,1048576
20211121161336,10.0.0.5,38675,10.0.0.10,5001,3,9.0-10.0,0,0
20211121161338,10.0.0.5,38675,10.0.0.10,5001,3,10.0-11.0,131072,1048576
20211121161338,10.0.0.5,38675,10.0.0.10,5001,3,11.0-12.0,0,0
20211121161340,10.0.0.5,38675,10.0.0.10,5001,3,12.0-13.0,131072,1048576
20211121161340,10.0.0.5,38675,10.0.0.10,5001,3,13.0-14.0,0,0
20211121161341,10.0.0.5,38675,10.0.0.10,5001,3,14.0-15.0,131072,1048576
20211121161341,10.0.0.5,38675,10.0.0.10,5001,3,15.0-16.0,0,0
20211121161343,10.0.0.5,38675,10.0.0.10,5001,3,16.0-17.0,131072,1048576
20211121161343,10.0.0.5,38675,10.0.0.10,5001,3,17.0-18.0,0,0
20211121161346,10.0.0.5,38675,10.0.0.10,5001,3,18.0-19.0,131072,1048576
20211121161346,10.0.0.5,38675,10.0.0.10,5001,3,19.0-20.0,0,0
20211121161348,10.0.0.5,38675,10.0.0.10,5001,3,20.0-21.0,131072,1048576
20211121161348,10.0.0.5,38675,10.0.0.10,5001,3,21.0-22.0,0,0
20211121161349,10.0.0.5,38675,10.0.0.10,5001,3,22.0-23.0,131072,1048576
20211121161349,10.0.0.5,38675,10.0.0.10,5001,3,23.0-24.0,0,0
20211121161351,10.0.0.5,38675,10.0.0.10,5001,3,24.0-25.0,131072,1048576
20211121161351,10.0.0.5,38675,10.0.0.10,5001,3,25.0-26.0,0,0
20211121161353,10.0.0.5,38675,10.0.0.10,5001,3,26.0-27.0,131072,1048576
20211121161353,10.0.0.5,38675,10.0.0.10,5001,3,27.0-28.0,0,0
20211121161355,10.0.0.5,38675,10.0.0.10,5001,3,28.0-29.0,131072,1048576
20211121161355,10.0.0.5,38675,10.0.0.10,5001,3,29.0-30.0,0,0
